  65.329    0.00000    5.000
  60.329    0.00000    5.000
  55.329    0.00000    5.000
  50.329    0.00000    5.000
  45.329    0.00000    5.000
  40.329    0.00000    5.000
  39.829    0.00000    5.000
  39.333    0.00000    5.000
  38.837    0.00000    5.000
  38.341    0.00000    5.000
  37.846    0.00000    5.000
  37.350    0.00000    5.000
  36.854    0.00000    5.000
  36.358    0.00000    5.000
  35.863    0.00000    5.000
  35.367    0.00000    5.000
  34.871    0.00000    5.000
  34.375    0.00000    5.000
  33.879    0.00000    5.000
  33.384    0.00000    5.000
  32.888    0.00000    5.000
  32.392    0.00000    5.000
  31.896    0.00000    5.000
  31.401    0.00000    5.000
  30.905    0.00000    5.000
  30.409    0.00000    5.000
  29.913    0.00000    5.000
  29.418    0.00000    5.000
  28.922    0.00000    5.000
  28.426    0.00000    5.000
  27.930    0.00000    5.000
  27.435    0.00000    5.000
  26.939    0.00000    5.000
  26.443    0.00000    5.000
  25.947    0.00000    5.000
  25.452    0.00000    5.000
  24.956    0.00000    5.000
  24.460    0.00000    5.000
  23.964    0.00000    5.000
  23.469    0.00000    5.000
  22.973    0.00000    5.000
  22.477    0.00000    5.000
  21.981    0.00000    5.000
  21.486    0.00000    5.000
  20.990    0.00000    5.000
  20.494    0.00000    5.000
  20.195    0.00000    5.000
  20.092    0.00000    5.000
  19.989    0.00000    5.000
  19.886    0.00000    5.000
  19.783    0.00000    5.000
  19.680    0.00000    5.000
  19.578    0.00000    5.000
  19.475    0.00000    5.000
  19.372    0.00000    5.000
  19.269    0.00000    5.000
  19.166    0.00000    5.000
  19.063    0.00000    5.000
  18.960    0.00000    5.000
  18.857    0.00000    5.000
  18.754    0.00000    5.000
  18.652    0.00000    5.000
  18.549    0.00000    5.000
  18.446    0.00000    5.000
  18.343    0.00000    5.000
  18.240    0.00000    5.000
  18.137    0.00000    5.000
  18.034    0.00000    5.000
  17.931    0.00000    5.000
  17.828    0.00000    5.000
  17.725    0.00000    5.000
  17.623    0.00000    5.000
  17.520    0.00000    5.000
  17.417    0.00000    5.000
  17.314    0.00000    5.000
  17.211    0.00000    5.000
  17.108    0.00000    5.000
  17.005    0.00000    5.000
  16.902    0.00000    5.000
  16.799    0.00000    5.000
  16.697    0.00000    5.000
  16.594    0.00000    5.000
  16.491    0.00000    5.000
  16.388    0.00000    5.000
  16.285    0.00000    5.000
  16.182    0.00000    5.000
  16.079    0.00000    5.000
  15.976    0.00000    5.000
  15.873    0.00000    5.000
  15.771    0.00000    5.000
  15.668    0.00000    5.000
  15.565    0.00000    5.000
  15.462    0.00000    5.000
  15.359    0.00000    5.000
  15.256    0.00000    5.000
  15.153    0.00000    5.000
  15.050    0.00000    5.000
  14.947    0.00000    5.000
  14.845    0.00000    5.000
  14.742    0.00000    5.000
  14.639    0.00000    5.000
  14.536    0.00000    5.000
  14.433    0.00000    5.000
  14.330    0.00000    5.000
  14.227    0.00000    5.000
  14.124    0.00000    5.000
  14.021    0.00000    5.000
  13.919    0.00000    5.000
  13.816    0.00000    5.000
  13.713    0.00000    5.000
  13.610    0.00000    5.000
  13.507    0.00000    5.000
  13.404    0.00000    5.000
  13.301    0.00000    5.000
  13.198    0.00000    5.000
  13.095    0.00000    5.000
  12.993    0.00000    5.000
  12.890    0.00000    5.000
  12.787    0.00000    5.000
  12.684    0.00000    5.000
  12.581    0.00000    5.000
  12.478    0.00000    5.000
  12.375    0.00000    5.000
  12.272    0.00000    5.000
  12.169    0.00000    5.000
  12.066    0.00000    5.000
  11.964    0.00000    5.000
  11.861    0.00000    5.000
  11.758    0.00000    5.000
  11.655    0.00000    5.000
  11.552    0.00000    5.000
  11.449    0.00000    5.000
  11.346    0.00000    5.000
  11.243    0.00000    5.000
  11.140    0.00000    5.000
  11.038    0.00000    5.000
  10.935    0.00000    5.000
  10.832    0.00000    5.000
  10.729    0.00000    5.000
  10.626    0.00000    5.000
  10.523    0.00000    5.000
  10.420    0.00000    5.000
  10.317    0.00000    5.000
  10.214    0.00000    5.000
  10.112    0.00000    5.000
  10.009    0.00000    5.000
   9.906    0.00000    5.000
   9.803    0.00000    5.000
   9.700    0.00000    5.000
   9.597    0.00000    5.000
   9.494    0.00000    5.000
   9.391    0.00000    5.000
   9.288    0.00000    5.000
   9.186    0.00000    5.000
   9.083    0.00000    5.000
   8.980    0.00000    5.000
   8.877    0.00000    5.000
   8.774    0.00000    5.000
   8.671    0.00000    5.000
   8.568    0.00000    5.000
   8.465    0.00000    5.000
   8.362    0.00000    5.000
   8.260    0.00000    5.000
   8.157    0.00000    5.000
   8.054    0.00000    5.000
   7.951    0.00000    5.000
   7.848    0.00000    5.000
   7.745    0.00000    5.000
   7.642    0.00000    5.000
   7.539    0.00000    5.000
   7.436    0.00000    5.000
   7.333    0.00000    5.000
   7.231    0.00000    5.000
   7.128    0.00000    5.000
   7.025    0.00000    5.000
   6.922    0.00000    5.000
   6.819    0.00000    5.000
   6.716    0.00000    5.000
   6.613    0.00000    5.000
   6.510    0.00000    5.000
   6.407    0.00120   29.343
   6.305    0.00274   31.935
   6.202    0.00609   34.591
   6.099    0.01058   36.779
   5.996    0.01392   38.462
   5.893    0.01591   39.948
   5.790    0.01475   40.944
   5.687    0.01177   41.455
   5.584    0.00857   41.451
   5.481    0.00541   40.840
   5.379    0.00307   39.791
   5.276    0.00143   38.156
   5.173    0.00052   35.853
   5.070    0.00050   35.699
   4.967    0.00051   35.963
   4.864    0.00124   38.395
   4.761    0.00143   39.497
   4.658    0.00113   39.858
   4.555    0.00079   39.870
   4.453    0.00000    5.000
   4.350    0.00000    5.000
   4.247    0.00000    5.000
   4.144    0.00000    5.000
   4.041    0.00000    5.000
   3.938    0.00000    5.000
   3.835    0.00000    5.000
   3.732    0.00000    5.000
   3.629    0.00000    5.000
   3.527    0.00000    5.000
   3.424    0.00000    5.000
   3.321    0.00000    5.000
   3.218    0.00000    5.000
   3.115    0.00059   50.413
   3.012    0.00208   52.750
   2.909    0.00632   54.962
   2.806    0.01803   57.389
   2.703    0.04258   59.940
   2.601    0.13664   60.000
   2.498    0.12938   60.000
   2.395    0.14489   60.000
   2.292    0.16417   60.000
   2.189    0.19755   60.000
   2.086    0.29437   60.000
   1.983    0.43169   60.000
   1.880    0.51822   60.000
   1.777    0.13379   60.000
   1.675    0.00000    5.000
   1.572    0.00000    5.000
   1.469    0.00000    5.000
   1.366    0.00000    5.000
   1.263    0.00000    5.000
   1.160    0.00000    5.000
   1.057    0.00000    5.000
   0.954    0.00000    5.000
   0.851    0.00000    5.000
   0.749    0.00000    5.000
   0.646    0.00000    5.000
   0.543    0.00000    5.000
   0.440    0.00000    5.000
   0.337    0.00000    5.000
   0.234    0.00000    5.000
   0.131    0.00000    5.000
