  65.326    0.13390  232.032 4.179630e+15 1.648200e+09 8.756325e+20 1.701674e+10 1.559746e+12
  60.326    0.25263  247.979 7.378816e+15 4.748292e+09 1.545862e+21 3.085768e+10 2.753670e+12
  55.326    0.47462  264.709 1.298663e+16 1.365232e+10 2.720699e+21 5.582014e+10 4.846583e+12
  50.326    0.89939  274.830 2.370290e+16 3.957855e+10 4.965757e+21 1.018167e+11 8.846135e+12
  45.326    1.67043  268.896 4.499451e+16 1.200207e+11 9.426350e+21 1.902241e+11 1.679369e+13
  40.326    3.10345  255.601 8.794265e+16 3.744189e+11 1.842399e+22 3.603490e+11 3.283135e+13
  39.826    3.32312  253.692 9.487572e+16 4.907509e+11 1.987646e+22 3.766825e+11 3.542625e+13
  39.331    3.55590  252.097 1.021643e+17 5.408602e+11 2.140342e+22 4.028848e+11 3.814883e+13
  38.835    3.80235  250.772 1.098223e+17 5.872959e+11 2.300776e+22 4.308204e+11 4.100963e+13
  38.339    4.05857  249.524 1.178087e+17 6.363279e+11 2.468092e+22 4.597222e+11 4.399327e+13
  37.843    4.34151  248.487 1.265479e+17 6.854318e+11 2.651179e+22 4.920693e+11 4.725810e+13
  37.347    4.62826  247.473 1.354585e+17 7.341427e+11 2.837855e+22 5.251140e+11 5.058695e+13
  36.852    4.95708  246.725 1.455222e+17 7.874382e+11 3.048690e+22 5.630013e+11 5.434679e+13
  36.356    5.28603  245.977 1.556508e+17 8.395881e+11 3.260884e+22 6.014403e+11 5.813113e+13
  35.860    5.67085  245.336 1.674187e+17 8.991108e+11 3.507422e+22 6.463879e+11 6.252785e+13
  35.364    6.05848  244.675 1.793459e+17 9.577660e+11 3.757296e+22 6.921727e+11 6.698444e+13
  34.869    6.50714  243.586 1.934882e+17 1.025057e+12 4.053578e+22 7.459294e+11 7.226889e+13
  34.373    6.96863  242.412 2.082143e+17 1.092040e+12 4.362089e+22 8.013273e+11 7.777192e+13
  33.877    7.48097  240.897 2.249274e+17 1.159680e+12 4.712229e+22 8.625616e+11 8.401785e+13
  33.381    8.02326  239.405 2.427358e+17 1.226175e+12 5.085315e+22 9.267857e+11 9.067356e+13
  32.886    8.60388  237.941 2.619031e+17 1.277484e+12 5.486870e+22 9.908839e+11 9.783826e+13
  32.390    9.24006  236.760 2.826729e+17 1.327355e+12 5.921997e+22 1.058229e+12 1.056026e+14
  31.894    9.90398  235.722 3.043167e+17 1.370202e+12 6.375434e+22 1.123525e+12 1.136949e+14
