  65.325    0.13583  233.033 4.221621e+15 1.647111e+09 8.844296e+20 1.722886e+10 1.575416e+12
  60.325    0.25534  249.520 7.411782e+15 4.682487e+09 1.552768e+21 3.100723e+10 2.765973e+12
  55.325    0.47784  265.025 1.305904e+16 1.353896e+10 2.735869e+21 5.608352e+10 4.873609e+12
  50.325    0.90303  275.334 2.375522e+16 4.000638e+10 4.976718e+21 1.019451e+11 8.865665e+12
  45.325    1.67188  269.158 4.498986e+16 1.174578e+11 9.425375e+21 1.895705e+11 1.679196e+13
  40.325    3.10796  256.590 8.773069e+16 3.762420e+11 1.837958e+22 3.591640e+11 3.275223e+13
  39.825    3.32806  255.215 9.444986e+16 4.780777e+11 1.978725e+22 3.763761e+11 3.526725e+13
  39.329    3.56145  253.540 1.017411e+17 5.244867e+11 2.131476e+22 4.008417e+11 3.799082e+13
  38.833    3.80741  251.607 1.096032e+17 5.691110e+11 2.296186e+22 4.297858e+11 4.092784e+13
  38.337    4.06361  249.797 1.178261e+17 6.162101e+11 2.468457e+22 4.598470e+11 4.399981e+13
  37.842    4.34527  248.291 1.267574e+17 6.628158e+11 2.655567e+22 4.932637e+11 4.733634e+13
  37.346    4.63116  246.866 1.358767e+17 7.089833e+11 2.846618e+22 5.274715e+11 5.074317e+13
  36.850    4.95875  246.246 1.458546e+17 7.577245e+11 3.055655e+22 5.652026e+11 5.447095e+13
  36.354    5.28655  245.626 1.558886e+17 8.050539e+11 3.265867e+22 6.032865e+11 5.821996e+13
  35.859    5.67133  245.208 1.675198e+17 8.593491e+11 3.509540e+22 6.470233e+11 6.256561e+13
  35.363    6.05903  244.757 1.793018e+17 9.129620e+11 3.756373e+22 6.907246e+11 6.696800e+13
  34.867    6.50877  243.595 1.935293e+17 9.745336e+11 4.054438e+22 7.420512e+11 7.228422e+13
  34.371    6.97166  242.333 2.083728e+17 1.034427e+12 4.365409e+22 7.938391e+11 7.783112e+13
  33.876    7.48500  240.685 2.252473e+17 1.096188e+12 4.718930e+22 8.506937e+11 8.413736e+13
  33.380    8.02855  239.187 2.431178e+17 1.156736e+12 5.093318e+22 9.093175e+11 9.081629e+13
  32.884    8.60941  237.873 2.621466e+17 1.215495e+12 5.491972e+22 9.731595e+11 9.792928e+13
  32.388    9.24608  236.805 2.828023e+17 1.276975e+12 5.924709e+22 1.042734e+12 1.056510e+14
  31.893    9.91024  235.818 3.043853e+17 1.338103e+12 6.376872e+22 1.116768e+12 1.137206e+14
  31.397   10.63908  234.840 3.281321e+17 1.396977e+12 6.874368e+22 1.197758e+12 1.226006e+14
  30.901   11.41315  233.912 3.534026e+17 1.451085e+12 7.403784e+22 1.283186e+12 1.320515e+14
  30.405   12.22645  233.026 3.800254e+17 1.494348e+12 7.961532e+22 1.370105e+12 1.420107e+14
  29.910   13.13771  232.132 4.099229e+17 1.547404e+12 8.587884e+22 1.467459e+12 1.531965e+14
  29.414   14.11386  231.282 4.419984e+17 1.605876e+12 9.259867e+22 1.571061e+12 1.651993e+14
  28.918   15.16468  230.467 4.765861e+17 1.666359e+12 9.984479e+22 1.680817e+12 1.781467e+14
  28.422   16.32894  229.642 5.150184e+17 1.731903e+12 1.078963e+23 1.802146e+12 1.925362e+14
  27.927   17.61747  229.136 5.568870e+17 1.806186e+12 1.166678e+23 1.934305e+12 2.082181e+14
  27.431   19.01388  228.791 6.019338e+17 1.898029e+12 1.261051e+23 2.076846e+12 2.250959e+14
  26.935   20.51467  228.357 6.506783e+17 2.024675e+12 1.363171e+23 2.225894e+12 2.433697e+14
  26.439   22.11334  227.718 7.033526e+17 2.170663e+12 1.473524e+23 2.375900e+12 2.631249e+14
  25.944   23.81412  227.141 7.593743e+17 2.315117e+12 1.590889e+23 2.534598e+12 2.841486e+14
  25.448   25.63649  226.589 8.194755e+17 2.458913e+12 1.716801e+23 2.704939e+12 3.067144e+14
  24.952   27.59921  226.246 8.835511e+17 2.614238e+12 1.851040e+23 2.883242e+12 3.307919e+14
  24.456   29.70321  226.188 9.511529e+17 2.791533e+12 1.992665e+23 3.065657e+12 3.562162e+14
  23.961   31.96153  226.175 1.023529e+18 2.978690e+12 2.144293e+23 3.258338e+12 3.834668e+14
  23.465   34.39373  225.946 1.102531e+18 3.121933e+12 2.309803e+23 3.467800e+12 4.132375e+14
  22.969   37.02420  226.002 1.186563e+18 3.174438e+12 2.485849e+23 3.680879e+12 4.449372e+14
  22.473   39.87900  226.335 1.276172e+18 3.298950e+12 2.673580e+23 3.897484e+12 4.788171e+14
  21.978   42.98228  226.563 1.374096e+18 3.588301e+12 2.878731e+23 4.141973e+12 5.158853e+14
  21.482   46.35019  226.639 1.481270e+18 3.897048e+12 3.103261e+23 4.377547e+12 5.565115e+14
  20.986   50.00396  226.864 1.596451e+18 4.009878e+12 3.344565e+23 4.597155e+12 6.002848e+14
  20.490   53.90930  227.044 1.719772e+18 3.950250e+12 3.602921e+23 4.855434e+12 6.472324e+14
  20.191   56.36994  227.178 1.797204e+18 3.846817e+12 3.765142e+23 5.040808e+12 6.768895e+14
  20.088   57.26192  227.254 1.825035e+18 3.788276e+12 3.823448e+23 5.111440e+12 6.876478e+14
  19.985   58.15388  227.330 1.852847e+18 3.801419e+12 3.881715e+23 5.189146e+12 6.982759e+14
  19.882   59.04588  227.405 1.880642e+18 3.813187e+12 3.939944e+23 5.266797e+12 7.089018e+14
  19.779   59.94746  227.474 1.908783e+18 3.824310e+12 3.998900e+23 5.345413e+12 7.196629e+14
  19.677   60.89118  227.511 1.938514e+18 3.836969e+12 4.061187e+23 5.429068e+12 7.310345e+14
  19.574   61.83488  227.548 1.968235e+18 3.848048e+12 4.123452e+23 5.512982e+12 7.424100e+14
