  65.326    0.13796  234.271 4.265451e+15 1.609816e+09 8.936121e+20 1.747085e+10 1.591773e+12
  60.326    0.25832  250.594 7.466414e+15 4.618115e+09 1.564214e+21 3.121418e+10 2.786363e+12
  55.326    0.48137  265.282 1.314278e+16 1.338926e+10 2.753412e+21 5.640862e+10 4.904862e+12
  50.326    0.90696  275.043 2.388374e+16 4.010321e+10 5.003644e+21 1.022259e+11 8.913635e+12
  45.326    1.67321  271.347 4.466230e+16 1.158765e+11 9.356753e+21 1.873712e+11 1.666971e+13
  40.326    3.10928  254.470 8.849936e+16 3.800826e+11 1.854062e+22 3.595196e+11 3.303919e+13
  39.826    3.32977  253.301 9.521239e+16 4.787049e+11 1.994700e+22 3.758599e+11 3.555199e+13
  39.330    3.56353  252.468 1.022332e+17 5.193288e+11 2.141785e+22 4.018147e+11 3.817458e+13
  38.835    3.80943  251.894 1.095365e+17 5.582893e+11 2.294789e+22 4.293586e+11 4.090296e+13
  38.339    4.06578  251.156 1.172508e+17 5.996000e+11 2.456405e+22 4.583546e+11 4.378500e+13
  37.843    4.34711  250.024 1.259318e+17 6.426401e+11 2.638271e+22 4.911877e+11 4.702803e+13
  37.347    4.63296  248.841 1.348507e+17 6.857395e+11 2.825122e+22 5.248592e+11 5.036000e+13
  36.852    4.96061  247.183 1.453559e+17 7.330063e+11 3.045206e+22 5.644324e+11 5.428469e+13
  36.356    5.28882  245.530 1.560167e+17 7.775930e+11 3.268551e+22 6.043382e+11 5.826781e+13
  35.860    5.67484  244.287 1.682562e+17 8.276936e+11 3.524967e+22 6.499710e+11 6.284064e+13
  35.364    6.06463  243.074 1.807103e+17 8.762098e+11 3.785881e+22 6.959979e+11 6.749408e+13
  34.869    6.51635  242.360 1.947419e+17 9.284241e+11 4.079843e+22 7.462114e+11 7.273722e+13
  34.373    6.98226  241.641 2.092874e+17 9.789890e+11 4.384570e+22 7.964799e+11 7.817280e+13
  33.877    7.49648  240.899 2.253918e+17 1.028781e+12 4.721958e+22 8.488984e+11 8.419141e+13
  33.381    8.04154  239.943 2.427438e+17 1.078328e+12 5.085482e+22 9.034944e+11 9.067665e+13
  32.886    8.62126  238.744 2.615503e+17 1.122196e+12 5.479479e+22 9.646813e+11 9.770661e+13
  32.390    9.25707  237.240 2.826198e+17 1.170257e+12 5.920886e+22 1.034385e+12 1.055829e+14
  31.894    9.91954  235.690 3.048360e+17 1.218809e+12 6.386315e+22 1.111102e+12 1.138891e+14
  31.398   10.64577  234.406 3.289464e+17 1.273972e+12 6.891427e+22 1.193704e+12 1.229050e+14
  30.903   11.41843  233.380 3.543726e+17 1.331374e+12 7.424105e+22 1.280037e+12 1.324141e+14
  30.407   12.23064  232.567 3.809060e+17 1.385716e+12 7.979980e+22 1.368494e+12 1.423398e+14
