13 13 1.000000 1.000000
1 1 itype_index_2497_0157_2491_-027.dat
1 2 itype_index_2497_0157_2492_-061.dat
1 3 itype_index_2497_0157_2493_-051.dat
1 4 itype_index_2497_0157_2494_-034.dat
1 5 itype_index_2497_0157_2495_-036.dat
1 6 itype_index_2497_0157_2496_-038.dat
1 7 itype_index_2497_0157_2497_-073.dat
1 8 itype_index_2497_0157_2498_-019.dat
1 9 itype_index_2497_0157_2499_-027.dat
1 10 itype_index_2497_0157_2500_-017.dat
1 11 itype_index_2497_0157_2501_-014.dat
1 12 itype_index_2497_0157_2502_-073.dat
1 13 itype_index_2497_0157_2503_-034.dat
2 1 itype_index_2497_0156_2491_-021.dat
2 2 itype_index_2497_0156_2492_-021.dat
2 3 itype_index_2497_0156_2493_-038.dat
2 4 itype_index_2497_0156_2494_-038.dat
2 5 itype_index_2497_0156_2495_-035.dat
2 6 itype_index_2497_0156_2496_-027.dat
2 7 itype_index_2497_0156_2497_-033.dat
2 8 itype_index_2497_0156_2498_-027.dat
2 9 itype_index_2497_0156_2499_-023.dat
2 10 itype_index_2497_0156_2500_-016.dat
2 11 itype_index_2497_0156_2501_-028.dat
2 12 itype_index_2497_0156_2502_-033.dat
2 13 itype_index_2497_0156_2503_-028.dat
3 1 itype_index_2497_0155_2491_-050.dat
3 2 itype_index_2497_0155_2492_-032.dat
3 3 itype_index_2497_0155_2493_-023.dat
3 4 itype_index_2497_0155_2494_-028.dat
3 5 itype_index_2497_0155_2495_-033.dat
3 6 itype_index_2497_0155_2496_-025.dat
3 7 itype_index_2497_0155_2497_-028.dat
3 8 itype_index_2497_0155_2498_-020.dat
3 9 itype_index_2497_0155_2499_-007.dat
3 10 itype_index_2497_0155_2500_-017.dat
3 11 itype_index_2497_0155_2501_-026.dat
3 12 itype_index_2497_0155_2502_-020.dat
3 13 itype_index_2497_0155_2503_-023.dat
4 1 itype_index_2497_0154_2491_-038.dat
4 2 itype_index_2497_0154_2492_-016.dat
4 3 itype_index_2497_0154_2493_-038.dat
4 4 itype_index_2497_0154_2494_-038.dat
4 5 itype_index_2497_0154_2495_-073.dat
4 6 itype_index_2497_0154_2496_-028.dat
4 7 itype_index_2497_0154_2497_-036.dat
4 8 itype_index_2497_0154_2498_-021.dat
4 9 itype_index_2497_0154_2499_-023.dat
4 10 itype_index_2497_0154_2500_-083.dat
4 11 itype_index_2497_0154_2501_-028.dat
4 12 itype_index_2497_0154_2502_-021.dat
4 13 itype_index_2497_0154_2503_-023.dat
5 1 itype_index_2497_0153_2491_-016.dat
5 2 itype_index_2497_0153_2492_-055.dat
5 3 itype_index_2497_0153_2493_-041.dat
5 4 itype_index_2497_0153_2494_-034.dat
5 5 itype_index_2497_0153_2495_-036.dat
5 6 itype_index_2497_0153_2496_-049.dat
5 7 itype_index_2497_0153_2497_-019.dat
5 8 itype_index_2497_0153_2498_-030.dat
5 9 itype_index_2497_0153_2499_-035.dat
5 10 itype_index_2497_0153_2500_-028.dat
5 11 itype_index_2497_0153_2501_-036.dat
5 12 itype_index_2497_0153_2502_-011.dat
5 13 itype_index_2497_0153_2503_-013.dat
6 1 itype_index_2497_0152_2491_-040.dat
6 2 itype_index_2497_0152_2492_-038.dat
6 3 itype_index_2497_0152_2493_-047.dat
6 4 itype_index_2497_0152_2494_-038.dat
6 5 itype_index_2497_0152_2495_-034.dat
6 6 itype_index_2497_0152_2496_-073.dat
6 7 itype_index_2497_0152_2497_-017.dat
6 8 itype_index_2497_0152_2498_-038.dat
6 9 itype_index_2497_0152_2499_-094.dat
6 10 itype_index_2497_0152_2500_-021.dat
6 11 itype_index_2497_0152_2501_-020.dat
6 12 itype_index_2497_0152_2502_-033.dat
6 13 itype_index_2497_0152_2503_-026.dat
7 1 itype_index_2497_0151_2491_-038.dat
7 2 itype_index_2497_0151_2492_-032.dat
7 3 itype_index_2497_0151_2493_-040.dat
7 4 itype_index_2497_0151_2494_-032.dat
7 5 itype_index_2497_0151_2495_-034.dat
7 6 itype_index_2497_0151_2496_-034.dat
7 7 itype_index_2497_0151_2497_-027.dat
7 8 itype_index_2497_0151_2498_-073.dat
7 9 itype_index_2497_0151_2499_-036.dat
7 10 itype_index_2497_0151_2500_-022.dat
7 11 itype_index_2497_0151_2501_-025.dat
